id,identifier__nrsr,identifier__parldata,name,sort_name,family_name,given_name,honorific_prefix,birth_date,gender,national_identity,email,image,source,start_date,end_date,faction_id,term,faction
1002102598109353145584950515253716116127377384788095124,1002102598109353145584950515253716116127377384788095124,54d2a4f6273a394ad5db988e,Peter Osuský,"Osuský, Peter",Osuský,Peter,MUDr.,1953-10-11,male,slovenská,peter_osusky@nrsr.sk,http://files.parldata.eu/sk/nrsr/people/54d2a4f6273a394ad5db988e/image.jpeg,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=100&CisObdobia=6,1998-09-26,1998-10-28,0,2,Independent
1002102598109353145584950515253716116127377384788095124,1002102598109353145584950515253716116127377384788095124,54d2a4f6273a394ad5db988e,Peter Osuský,"Osuský, Peter",Osuský,Peter,MUDr.,1953-10-11,male,slovenská,peter_osusky@nrsr.sk,http://files.parldata.eu/sk/nrsr/people/54d2a4f6273a394ad5db988e/image.jpeg,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=100&CisObdobia=6,2000-12-05,2002-09-21,0,2,Independent
1002102598109353145584950515253716116127377384788095124,1002102598109353145584950515253716116127377384788095124,54d2a4f6273a394ad5db988e,Peter Osuský,"Osuský, Peter",Osuský,Peter,MUDr.,1953-10-11,male,slovenská,peter_osusky@nrsr.sk,http://files.parldata.eu/sk/nrsr/people/54d2a4f6273a394ad5db988e/image.jpeg,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=100&CisObdobia=6,1998-10-29,2000-12-04,2,2,Klub SDK
1002102598109353145584950515253716116127377384788095124,1002102598109353145584950515253716116127377384788095124,54d2a4f6273a394ad5db988e,Peter Osuský,"Osuský, Peter",Osuský,Peter,MUDr.,1953-10-11,male,slovenská,peter_osusky@nrsr.sk,http://files.parldata.eu/sk/nrsr/people/54d2a4f6273a394ad5db988e/image.jpeg,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=100&CisObdobia=6,2010-07-08,2012-03-10,35,5,Klub MOST-HÍD
1002102598109353145584950515253716116127377384788095124,1002102598109353145584950515253716116127377384788095124,54d2a4f6273a394ad5db988e,Peter Osuský,"Osuský, Peter",Osuský,Peter,MUDr.,1953-10-11,male,slovenská,peter_osusky@nrsr.sk,http://files.parldata.eu/sk/nrsr/people/54d2a4f6273a394ad5db988e/image.jpeg,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=100&CisObdobia=6,2012-04-04,,0,6,Independent
1012817172,1012817172,54d2a4f7273a394ad5db9890,Peter Ošváth,"Ošváth, Peter",Ošváth,Peter,Ing.,1953-06-26,male,slovenská,osvapete@nrsr.sk,http://files.parldata.eu/sk/nrsr/people/54d2a4f7273a394ad5db9890/image.jpeg,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=101&CisObdobia=2,1998-09-26,1998-10-28,0,2,Independent
1012817172,1012817172,54d2a4f7273a394ad5db9890,Peter Ošváth,"Ošváth, Peter",Ošváth,Peter,Ing.,1953-06-26,male,slovenská,osvapete@nrsr.sk,http://files.parldata.eu/sk/nrsr/people/54d2a4f7273a394ad5db9890/image.jpeg,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=101&CisObdobia=2,1998-10-29,2002-09-21,2,2,Klub SDK
10211115,10211115,54d2a4a3273a394ad5db9794,Ladislav Ballek,"Ballek, Ladislav",Ballek,Ladislav,Mgr.,1941-04-02,male,slovenská,,http://files.parldata.eu/sk/nrsr/people/54d2a4a3273a394ad5db9794/image.jpeg,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=10&CisObdobia=2,1998-09-26,1998-10-28,0,2,Independent
10211115,10211115,54d2a4a3273a394ad5db9794,Ladislav Ballek,"Ballek, Ladislav",Ballek,Ladislav,Mgr.,1941-04-02,male,slovenská,,http://files.parldata.eu/sk/nrsr/people/54d2a4a3273a394ad5db9794/image.jpeg,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=10&CisObdobia=2,1998-10-29,2001-01-28,5,2,Klub SDĽ
1022816823321351414476842420,1022816823321351414476842420,54d2a4f8273a394ad5db9892,Vladimír Palko,"Palko, Vladimír",Palko,Vladimír,doc. RNDr.,1957-05-20,male,slovenská,vladimir_palko@nrsr.sk,http://files.parldata.eu/sk/nrsr/people/54d2a4f8273a394ad5db9892/image.jpeg,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=102&CisObdobia=4,1998-09-26,1998-10-28,0,2,Independent
